Cluster;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
NIP;GO:0072655;establishment of protein localization to mitochondrion;7/183;142/18862;0.00047714;0.033329975;0.031102913;CALM1/CHCHD4/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;7
NIP;GO:0055074;calcium ion homeostasis;13/183;454/18862;0.000505628;0.034479009;0.03217517;APLNR/ATP2A1/ATP2B2/C3AR1/CALM1/CCL3/GOT1/GPR17/JPH4/NPTN/PDGFRA/RIC3/WNT5A;13
NIP;GO:0007006;mitochondrial membrane organization;7/183;144/18862;0.000518869;0.034559072;0.032249884;CALM1/HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;7
NIP;GO:0070585;protein localization to mitochondrion;7/183;146/18862;0.000563454;0.03667576;0.034225138;CALM1/CHCHD4/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;7
NIP;GO:1904427;positive regulation of calcium ion transmembrane transport;5/183;70/18862;0.000591476;0.037644178;0.035128848;APLNR/ATP2A1/CALM1/HSPA2/KCNE3;5
NIP;GO:0034620;cellular response to unfolded protein;7/183;149/18862;0.000635994;0.039597555;0.036951702;CLGN/DNAJB11/HSPA1A/HSPA2/HSPA5/HSPA8/LMNA;7
NIP;GO:1903747;regulation of establishment of protein localization to mitochondrion;5/183;72/18862;0.00067319;0.041021629;0.038280622;YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;5
NIP;GO:0033157;regulation of intracellular protein transport;9/183;248/18862;0.000726849;0.043368679;0.040470845;DMAP1/GDI1/RAN/SLC1A1/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;9
VIP;GO:0010256;endomembrane system organization;27/292;482/18862;9.09E-09;2.93E-05;2.57E-05;AKAP9/ANO6/AP3B1/BAG5/CHMP2A/GCC2/GOLGA2/GOLGB1/GORASP1/HOOK1/LMAN2/NEK9/PDE4DIP/RAB10/RAB18/RAB1A/RAB2A/RAB7A/REEP5/REEP6/RTN4/SLC9A3R1/SUN2/TMED5/TOR1A/TOR1AIP1/VPS11;27
VIP;GO:0006605;protein targeting;25/292;441/18862;2.62E-08;4.22E-05;3.70E-05;AP3B1/CSNK2A2/DNAJC19/GCC2/GOLGA7/GRPEL1/IDE/NUP54/OS9/PITRM1/PMPCA/PMPCB/RAB7A/RPL36/SIL1/SLC27A2/SRP19/SRP54/SRP72/STOM/TIMM10/TIMM8B/TIMM9/TYSND1/VPS11;25
VIP;GO:0034605;cellular response to heat;13/292;120/18862;4.48E-08;4.81E-05;4.22E-05;BAG5/HDAC2/HMOX1/HSBP1/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/PRKACA/RAE1/SLU7;13
VIP;GO:0006457;protein folding;17/292;233/18862;1.43E-07;0.000115086;0.000101034;BAG5/CSNK2A2/CSNK2B/CWC27/DNAJC19/ERP44/GNB1/GRPEL1/MOGS/NGLY1/PPIL3/QSOX2/SDF2/SIL1/TBCA/TOR1A/WFS1;17
VIP;GO:0006409;tRNA export from nucleus;7/292;34/18862;7.46E-07;0.000399815;0.000350998;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0071431;tRNA-containing ribonucleoprotein complex export from nucleus;7/292;34/18862;7.46E-07;0.000399815;0.000350998;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0051031;tRNA transport;7/292;37/18862;1.37E-06;0.000514739;0.00045189;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0009408;response to heat;13/292;161/18862;1.39E-06;0.000514739;0.00045189;BAG5/HDAC2/HMOX1/HSBP1/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/PRKACA/RAE1/SLU7;13
VIP;GO:0043488;regulation of mRNA stability;14/292;188/18862;1.44E-06;0.000514739;0.00045189;EXOSC2/EXOSC3/EXOSC5/EXOSC8/FASTKD5/GIGYF2/LARP1/LARP4B/MOV10/NUP214/PABPC1/PABPC4/PSMD8/UPF1;14
VIP;GO:0097064;ncRNA export from nucleus;7/292;38/18862;1.66E-06;0.000533719;0.000468553;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0072655;establishment of protein localization to mitochondrion;12/292;142/18862;2.20E-06;0.000642414;0.000563976;AP3B1/BCS1L/CSNK2A2/DNAJC19/GRPEL1/PITRM1/PMPCA/PMPCB/TIMM10/TIMM8B/TIMM9/VPS11;12
VIP;GO:0043487;regulation of RNA stability;14/292;198/18862;2.66E-06;0.000675859;0.000593338;EXOSC2/EXOSC3/EXOSC5/EXOSC8/FASTKD5/GIGYF2/LARP1/LARP4B/MOV10/NUP214/PABPC1/PABPC4/PSMD8/UPF1;14
VIP;GO:0090150;establishment of protein localization to membrane;19/292;354/18862;2.90E-06;0.000675859;0.000593338;ACSL3/AP3B1/ATP1B1/BCS1L/GOLGA7/GORASP1/GRIPAP1/RAB10/RAB7A/RAB8A/RPL36/SIL1/SRP19/SRP54/SRP72/STOM/TIMM10/TIMM8B/TIMM9;19
VIP;GO:0070585;protein localization to mitochondrion;12/292;146/18862;2.94E-06;0.000675859;0.000593338;AP3B1/BCS1L/CSNK2A2/DNAJC19/GRPEL1/PITRM1/PMPCA/PMPCB/TIMM10/TIMM8B/TIMM9/VPS11;12
VIP;GO:0006626;protein targeting to mitochondrion;10/292;100/18862;3.44E-06;0.000723788;0.000635415;CSNK2A2/DNAJC19/GRPEL1/PITRM1/PMPCA/PMPCB/TIMM10/TIMM8B/TIMM9/VPS11;10
VIP;GO:1900034;regulation of cellular response to heat;9/292;79/18862;3.60E-06;0.000723788;0.000635415;BAG5/HSBP1/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;9
VIP;GO:0007030;Golgi organization;12/292;150/18862;3.90E-06;0.000738047;0.000647933;AKAP9/BAG5/GCC2/GOLGA2/GOLGB1/GORASP1/HOOK1/LMAN2/PDE4DIP/RAB1A/RAB2A/TMED5;12
VIP;GO:0061013;regulation of mRNA catabolic process;14/292;210/18862;5.28E-06;0.00094328;0.000828107;EXOSC2/EXOSC3/EXOSC5/EXOSC8/FASTKD5/GIGYF2/LARP1/LARP4B/MOV10/NUP214/PABPC1/PABPC4/PSMD8/UPF1;14
VIP;GO:0016073;snRNA metabolic process;7/292;47/18862;7.34E-06;0.001210968;0.001063111;EXOSC2/EXOSC3/EXOSC5/EXOSC8/INTS4/LARP7/MEPCE;7
VIP;GO:0044766;multi-organism transport;8/292;66/18862;7.90E-06;0.001210968;0.001063111;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAB7A/RAE1;8
VIP;GO:1902579;multi-organism localization;8/292;66/18862;7.90E-06;0.001210968;0.001063111;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAB7A/RAE1;8
VIP;GO:0019058;viral life cycle;18/292;348/18862;8.83E-06;0.001248833;0.001096352;CHMP2A/IDE/ITGB1/LARP1/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/PABPC1/PVR/RAB1A/RAB7A/RAE1/SCARB1/STOM/TMEM39B;18
VIP;GO:0007249;I-kappaB kinase/NF-kappaB signaling;16/292;282/18862;8.93E-06;0.001248833;0.001096352;BRD4/DDX21/ERC1/F2RL1/HMOX1/NDFIP2/NLRX1/NUP62/RHOA/RIPK1/SLC44A2/SNIP1/TBK1/TBKBP1/TLE1/TRIM59;16
VIP;GO:0009100;glycoprotein metabolic process;20/292;421/18862;9.88E-06;0.001324171;0.001162493;AATF/ALG11/ALG5/ALG8/CHPF/CHPF2/DPY19L1/EDEM3/ERP44/GOLGA2/GORASP1/HS2ST1/HS6ST2/MOGS/NGLY1/OS9/PCSK6/POFUT1/RAB1A/UGGT2;20
VIP;GO:0034427;nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5';4/292;11/18862;1.70E-05;0.002108788;0.001851309;EXOSC2/EXOSC3/EXOSC5/EXOSC8;4
VIP;GO:0072321;chaperone-mediated protein transport;4/292;11/18862;1.70E-05;0.002108788;0.001851309;TIMM10/TIMM8B/TIMM9/TOR1A;4
VIP;GO:0031126;sno(s)RNA 3'-end processing;4/292;12/18862;2.53E-05;0.002805693;0.002463123;EXOSC2/EXOSC3/EXOSC5/LARP7;4
VIP;GO:0051028;mRNA transport;11/292;152/18862;2.54E-05;0.002805693;0.002463123;G3BP2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/NUTF2/RAE1/SLU7/UPF1;11
VIP;GO:0022406;membrane docking;12/292;181/18862;2.63E-05;0.002805693;0.002463123;AKAP9/CDK5RAP2/CEP135/CEP250/NINL/PCNT/PRKACA/PRKAR2B/RAB10/RAB7A/RAB8A/VPS11;12
VIP;GO:0072659;protein localization to plasma membrane;15/292;275/18862;2.70E-05;0.002805693;0.002463123;ACSL3/AP2M1/ARF6/ATP1B1/GOLGA7/GORASP1/GRIPAP1/ITGB1/PKP2/RAB10/RAB7A/RAB8A/RDX/SLC9A3R1/ZDHHC5;15
VIP;GO:0075733;intracellular transport of virus;7/292;57/18862;2.70E-05;0.002805693;0.002463123;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0036503;ERAD pathway;9/292;102/18862;2.94E-05;0.002953309;0.002592716;EDEM3/ERLEC1/FOXRED2/OS9/TOR1A/UBXN8/UGGT2/USP13/WFS1;9
VIP;GO:0061951;establishment of protein localization to plasma membrane;7/292;59/18862;3.40E-05;0.003221763;0.002828392;ACSL3/GOLGA7/GORASP1/GRIPAP1/RAB10/RAB7A/RAB8A;7
VIP;GO:0071027;nuclear RNA surveillance;4/292;13/18862;3.60E-05;0.003221763;0.002828392;EXOSC2/EXOSC3/EXOSC5/EXOSC8;4
VIP;GO:0071028;nuclear mRNA surveillance;4/292;13/18862;3.60E-05;0.003221763;0.002828392;EXOSC2/EXOSC3/EXOSC5/EXOSC8;4
VIP;GO:0002446;neutrophil mediated immunity;21/292;499/18862;3.61E-05;0.003221763;0.002828392;ANO6/AP2A2/CSNK2B/CYB5R3/ERP44/F2RL1/GGH/GLA/GOLGA7/IMPDH2/NPC2/PTGES2/RAB10/RAB14/RAB18/RAB5C/RAB7A/RHOA/SLC27A2/SLC44A2/STOM;21
VIP;GO:0042119;neutrophil activation;21/292;500/18862;3.71E-05;0.003226972;0.002832965;ANO6/AP2A2/CSNK2B/CYB5R3/ERP44/F2RL1/GGH/GLA/GOLGA7/IMPDH2/NPC2/PTGES2/RAB10/RAB14/RAB18/RAB5C/RAB7A/RHOA/SLC27A2/SLC44A2/STOM;21
VIP;GO:0010457;centriole-centriole cohesion;4/292;14/18862;4.98E-05;0.004110617;0.003608719;CEP135/CEP250/CEP68/NIN;4
VIP;GO:0043144;sno(s)RNA processing;4/292;14/18862;4.98E-05;0.004110617;0.003608719;EXOSC2/EXOSC3/EXOSC5/LARP7;4
VIP;GO:0032201;telomere maintenance via semi-conservative replication;5/292;27/18862;5.25E-05;0.004218412;0.003703352;POLA1/POLA2/PRIM1/PRIM2/UPF1;5
VIP;GO:0046794;transport of virus;7/292;64/18862;5.79E-05;0.00441738;0.003878026;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:1990778;protein localization to cell periphery;16/292;329/18862;5.85E-05;0.00441738;0.003878026;ACSL3/AP2M1/ARF6/ATP1B1/GOLGA7/GORASP1/GRIPAP1/ITGB1/PDZD11/PKP2/RAB10/RAB7A/RAB8A/RDX/SLC9A3R1/ZDHHC5;16
VIP;GO:0009266;response to temperature stimulus;13/292;228/18862;5.90E-05;0.00441738;0.003878026;BAG5/HDAC2/HMOX1/HSBP1/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/PRKACA/RAE1/SLU7;13
VIP;GO:0006406;mRNA export from nucleus;9/292;113/18862;6.60E-05;0.004681781;0.004110145;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/SLU7/UPF1;9
VIP;GO:0071427;mRNA-containing ribonucleoprotein complex export from nucleus;9/292;113/18862;6.60E-05;0.004681781;0.004110145;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/SLU7/UPF1;9
VIP;GO:0071025;RNA surveillance;4/292;15/18862;6.71E-05;0.004681781;0.004110145;EXOSC2/EXOSC3/EXOSC5/EXOSC8;4
VIP;GO:0010498;proteasomal protein catabolic process;20/292;483/18862;6.92E-05;0.004681781;0.004110145;ATE1/BAG5/CUL2/EDEM3/ERLEC1/FBXL12/FOXRED2/GPX1/HECTD1/OS9/PRKACA/PSMD8/RBX1/RNF41/TOR1A/UBXN8/UGGT2/USP13/WFS1/ZYG11B;20
VIP;GO:1903311;regulation of mRNA metabolic process;16/292;334/18862;6.99E-05;0.004681781;0.004110145;EXOSC2/EXOSC3/EXOSC5/EXOSC8/FASTKD5/GIGYF2/LARP1/LARP4B/LARP7/MOV10/NUP214/NUP98/PABPC1/PABPC4/PSMD8/UPF1;16
VIP;GO:0043312;neutrophil degranulation;20/292;485/18862;7.32E-05;0.004786039;0.004201673;ANO6/AP2A2/CSNK2B/CYB5R3/ERP44/GGH/GLA/GOLGA7/IMPDH2/NPC2/PTGES2/RAB10/RAB14/RAB18/RAB5C/RAB7A/RHOA/SLC27A2/SLC44A2/STOM;20
VIP;GO:0048193;Golgi vesicle transport;17/292;372/18862;7.44E-05;0.004786039;0.004201673;ACSL3/ERGIC1/GCC2/GOLGA2/GOLGA3/GOLGA7/GOLGB1/GORASP1/HYOU1/LMAN2/RAB10/RAB14/RAB1A/RAB8A/SCAP/TMED5/YIF1A;17
VIP;GO:0006403;RNA localization;13/292;234/18862;7.69E-05;0.004786039;0.004201673;EXOSC2/EXOSC3/G3BP2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/NUTF2/RAE1/SLU7/UPF1;13
VIP;GO:0140056;organelle localization by membrane tethering;11/292;172/18862;7.88E-05;0.004786039;0.004201673;AKAP9/CDK5RAP2/CEP135/CEP250/NINL/PCNT/PRKACA/PRKAR2B/RAB10/RAB8A/VPS11;11
VIP;GO:0002283;neutrophil activation involved in immune response;20/292;488/18862;7.96E-05;0.004786039;0.004201673;ANO6/AP2A2/CSNK2B/CYB5R3/ERP44/GGH/GLA/GOLGA7/IMPDH2/NPC2/PTGES2/RAB10/RAB14/RAB18/RAB5C/RAB7A/RHOA/SLC27A2/SLC44A2/STOM;20
VIP;GO:0010389;regulation of G2/M transition of mitotic cell cycle;12/292;203/18862;8.03E-05;0.004786039;0.004201673;AKAP9/BRD4/CDK5RAP2/CENPF/CEP135/CEP250/NINL/PCNT/PRKACA/PRKAR2B/PSMD8/RBX1;12
VIP;GO:0016074;sno(s)RNA metabolic process;4/292;16/18862;8.84E-05;0.005120555;0.004495345;EXOSC2/EXOSC3/EXOSC5/LARP7;4
VIP;GO:0007020;microtubule nucleation;5/292;30/18862;8.91E-05;0.005120555;0.004495345;AKAP9/GOLGA2/NIN/TUBGCP2/TUBGCP3;5
VIP;GO:0042254;ribosome biogenesis;15/292;307/18862;9.43E-05;0.005323193;0.004673241;AATF/DDX10/DDX21/EXOSC2/EXOSC3/EXOSC5/EXOSC8/HEATR3/MDN1/MPHOSPH10/MRPS2/NGDN/NOL10/NUP88/RRP9;15
VIP;GO:0044839;cell cycle G2/M phase transition;14/292;276/18862;0.00010866;0.006026889;0.005291017;AKAP8/AKAP9/BRD4/CDK5RAP2/CENPF/CEP135/CEP250/FBXL12/NINL/PCNT/PRKACA/PRKAR2B/PSMD8/RBX1;14
VIP;GO:0060964;regulation of gene silencing by miRNA;9/292;121/18862;0.000112215;0.006091109;0.005347396;EIF4E2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/RIPK1;9
VIP;GO:0097711;ciliary basal body-plasma membrane docking;8/292;95/18862;0.000113605;0.006091109;0.005347396;AKAP9/CDK5RAP2/CEP135/CEP250/NINL/PCNT/PRKACA/PRKAR2B;8
VIP;GO:0043122;regulation of I-kappaB kinase/NF-kappaB signaling;13/292;244/18862;0.000117185;0.006180087;0.005425511;BRD4/DDX21/F2RL1/HMOX1/NDFIP2/NLRX1/NUP62/RHOA/RIPK1/SLC44A2/TBK1/TLE1/TRIM59;13
VIP;GO:0032386;regulation of intracellular transport;16/292;350/18862;0.000120422;0.006248365;0.005485451;CSNK2A2/ERLEC1/GCC2/GRIPAP1/NUP214/NUP54/NUP62/NUTF2/OS9/PCNT/PRKACA/RDX/REEP5/REEP6/STOM/VPS11;16
VIP;GO:0060147;regulation of posttranscriptional gene silencing;9/292;124/18862;0.000135381;0.006883311;0.006042872;EIF4E2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/RIPK1;9
VIP;GO:0006611;protein export from nucleus;11/292;183/18862;0.000136939;0.006883311;0.006042872;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/NUTF2/PRKACA/RAE1/SLU7/UPF1;11
VIP;GO:0060966;regulation of gene silencing by RNA;9/292;125/18862;0.000143938;0.007123848;0.00625404;EIF4E2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/RIPK1;9
VIP;GO:1902749;regulation of cell cycle G2/M phase transition;12/292;219/18862;0.000164461;0.008016236;0.00703747;AKAP9/BRD4/CDK5RAP2/CENPF/CEP135/CEP250/NINL/PCNT/PRKACA/PRKAR2B/PSMD8/RBX1;12
VIP;GO:0071426;ribonucleoprotein complex export from nucleus;9/292;130/18862;0.000193805;0.009305515;0.00816933;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/SLU7/UPF1;9
VIP;GO:0000086;G2/M transition of mitotic cell cycle;13/292;258/18862;0.000203387;0.009573048;0.008404197;AKAP9/BRD4/CDK5RAP2/CENPF/CEP135/CEP250/FBXL12/NINL/PCNT/PRKACA/PRKAR2B/PSMD8/RBX1;13
VIP;GO:0071166;ribonucleoprotein complex localization;9/292;131/18862;0.000205328;0.009573048;0.008404197;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/SLU7/UPF1;9
VIP;GO:1903829;positive regulation of cellular protein localization;14/292;295/18862;0.000217244;0.009744524;0.008554736;ACSL3/ARF6/CEP250/CSNK2A2/ITGB1/LARP7/MEPCE/NUP62/NUTF2/RDX/RTN4/STOM/VPS11/ZDHHC5;14
VIP;GO:0016180;snRNA processing;5/292;36/18862;0.000218575;0.009744524;0.008554736;EXOSC2/EXOSC3/EXOSC5/EXOSC8/INTS4;5
VIP;GO:0006110;regulation of glycolytic process;7/292;79/18862;0.000221886;0.009744524;0.008554736;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0016075;rRNA catabolic process;4/292;20/18862;0.000224151;0.009744524;0.008554736;EXOSC2/EXOSC3/EXOSC5/EXOSC8;4
VIP;GO:0046931;pore complex assembly;4/292;20/18862;0.000224151;0.009744524;0.008554736;ANO6/NUP98/PDZD11/RTN4;4
